cnpj_raiz,email_corporativo,cargo_dono_agg,estado,capital
07.462.961,1,gerente,Outros,1
07.487.711,1,socio,ES,0
07.500.990,1,proprietario,SC,0
07.503.564,1,diretor,SP,1
07.507.370,1,proprietario,SC,0
07.522.017,0,gerente,PB,0
07.527.737,1,gerente,Outros,0
07.534.221,1,proprietario,RS,0
07.553.862,1,gerente,Outros,0
07.555.950,1,proprietario,Outros,1
07.571.746,1,socio,ES,0
07.575.881,1,socio,PB,1
07.579.025,1,diretor,PR,0
07.580.204,1,diretor,MG,1
07.580.415,1,socio,RJ,0
07.593.016,1,outros,Outros,1
07.601.894,0,gerente,PR,0
07.606.538,1,diretor,Outros,1
07.610.069,0,gerente,MG,0
07.612.398,0,proprietario,Outros,1
07.620.879,1,socio,RS,0
07.632.502,1,diretor,SP,0
07.633.719,1,gerente,SP,0
07.635.773,1,proprietario,Outros,0
07.641.734,1,diretor,Outros,1
07.643.876,0,gerente,RS,0
07.644.534,1,socio,RJ,0
07.654.975,1,diretor,Outros,0
07.656.322,1,gerente,SC,0
07.672.060,1,diretor,MG,0
07.677.731,1,gerente,ES,0
07.703.052,0,diretor,SP,0
07.709.146,1,diretor,SP,1
07.716.123,1,outros,Outros,1
07.753.970,0,diretor,SC,0
07.755.924,1,diretor,PR,0
07.758.693,1,gerente,SP,0
07.764.398,1,diretor,Outros,1
07.767.747,1,gerente,MG,0
07.769.624,0,gerente,SP,0
07.779.699,1,diretor,GO,0
07.780.442,1,gerente,SP,0
07.784.847,1,diretor,GO,0
07.802.628,0,proprietario,BA,0
07.805.002,0,diretor,Outros,1
07.805.442,1,gerente,RJ,0
07.809.939,1,diretor,RS,0
07.811.641,1,socio,Outros,1
07.816.376,1,gerente,SC,0
07.829.648,0,gerente,GO,0
07.833.708,1,gerente,PB,1
07.871.613,1,diretor,MG,0
07.873.061,0,proprietario,GO,0
07.877.700,1,proprietario,Outros,1
07.888.247,1,diretor,Outros,0
07.891.454,1,diretor,ES,0
07.913.412,1,outros,RS,0
07.922.139,1,socio,Outros,1
07.922.210,0,proprietario,Outros,1
07.924.408,1,gerente,RS,0
07.932.466,1,proprietario,MG,0
07.939.422,0,gerente,Outros,1
07.966.787,0,diretor,PB,1
07.980.195,1,proprietario,SC,0
07.981.334,0,gerente,Outros,0
07.996.048,1,socio,PB,0
07.996.662,1,proprietario,Outros,0
08.003.302,0,diretor,PR,0
08.012.514,0,proprietario,PB,1
08.017.542,1,gerente,RJ,1
08.024.836,1,gerente,SP,1
08.039.087,1,outros,PB,1
08.043.624,1,diretor,MG,0
08.044.633,0,diretor,PR,0
08.045.747,1,gerente,SP,1
08.056.881,0,socio,PB,1
08.061.801,0,diretor,Outros,0
08.070.984,1,gerente,SP,0
08.074.153,1,proprietario,SP,0
08.076.772,0,socio,MG,0
08.084.898,1,gerente,SP,1
08.085.980,0,proprietario,Outros,1
08.090.575,1,outros,Outros,0
08.091.562,1,diretor,MG,0
08.094.471,1,outros,ES,0
08.099.759,1,diretor,SC,0
08.102.628,0,diretor,Outros,1
